title,url,content_p_tags,content_ol_tags,content_ul_tags
"New India invents Covid vaccines, lands near south pole of Moon:...",https://www.deccanchronicle.com/news/current-affairs/new-india-invents-covid-vaccines-lands-near-south-pole-of-moon-jaishankar-884449,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
BRS MLA’s aeronautical college buildings demolished at Dundigal,https://www.deccanchronicle.com/news/brs-mlas-aeronautical-college-buildings-demolished-at-dundigal-884448,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Court summons Delhi CM Kejriwal on March 16 after fresh complaint by...,https://www.deccanchronicle.com/nation/current-affairs/court-summons-delhi-cm-kejriwal-on-march-16-after-fresh-complaint-by-ed-884447,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Which engineering stream has the most girls?,https://www.deccanchronicle.com/education/when-every-girl-was-turning-right-they-turned-left-884446,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
"BJD, BJP hint at pre-poll alliance in Odisha",https://www.deccanchronicle.com/news/bjd-bjp-hint-at-pre-poll-alliance-in-odisha-884445,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Telangana creates new record in power supply,https://www.deccanchronicle.com/news/telangana-creates-new-record-in-power-supply-884444,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
"Guruji was a happy sitarist, but a strict teacher: Rishab Rikhiram on...",https://www.deccanchronicle.com/entertainment/music/sitar-for-mental-health-is-a-warm-group-hug-says-rishab-rikhiram-sharma-884443,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Tinder launches self learning course on Let's Talk Consent,https://www.deccanchronicle.com/lifestyle/tinder-partners-with-yuvaa-for-free-one-of-its-kind-course-884442,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
Maldives not to renew agreement with India for hydrographic surveys,https://www.deccanchronicle.com/world/neighbours/maldives-not-to-renew-agreement-with-india-for-hydrographic-surveys-884441,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
"GPay, PhonePe gain on Paytm’s travails",https://www.deccanchronicle.com/business/corporate-news/gpay-phonepe-gain-on-paytms-travails-884440,[],[],"['HomeAstroguideSouthAndhra PradeshTelanganaTamil NaduKarnatakaKeralaNationArunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest BengalWorldSportsCricketFootballTennisOthersEntertainmentTollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTTGalleryVideosOpinion and EditorialsColumnsDC CommentsBusinessTechnologyEducationSunday ChronicleHyderabad ChronicleIn FocusLifestyleJobsSpecial StoryEditor PickFeaturedScience', 'Andhra PradeshTelanganaTamil NaduKarnatakaKerala', 'Arunachal PradeshAssamBiharGoaGujaratHaryanaHimachal PradeshJammu and KashmirJharkhandMadhya PradeshMaharashtraManipurMeghalayaMizoramNagalandOdishaPunjabRajasthanSikkimTripuraUttar PradeshUttarakhandWest Bengal', 'CricketFootballTennisOthers', 'TollywoodBollywoodSandalwoodKollywoodMollywoodHollywoodMovie ReviewsTelevisionMusicTheatreOTT']"
